Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,714,5.3,12:00:00 AM,714
1:00:00 AM,1428,5.3,1:00:00 AM,1428
2:00:00 AM,2142,5.3,2:00:00 AM,2142
3:00:00 AM,4284,6.1,3:00:00 AM,4284
4:00:00 AM,6426,6.1,4:00:00 AM,6426
5:00:00 AM,8568,6.1,5:06:24 AM,8568
6:00:00 AM,12852,8.1,6:08:24 AM,12852
7:00:00 AM,17136,8.1,7:08:24 AM,17136
8:00:00 AM,21420,8.1,8:08:24 AM,21420
9:00:00 AM,24480,6.8,9:06:24 AM,24480
10:00:00 AM,27540,6.8,10:06:36 AM,27540
11:00:00 AM,30600,6.8,11:06:36 AM,30600
12:00:00 PM,33660,6.8,12:06:36 PM,33660
1:00:00 PM,36720,6.8,1:06:36 PM,36720
2:00:00 PM,39780,6.8,2:06:36 PM,39780
3:00:00 PM,44064,8.1,3:08:24 PM,44064
4:00:00 PM,48348,8.1,4:08:24 PM,48348
5:00:00 PM,52632,8.1,5:08:24 PM,52632
6:00:00 PM,2142,6.1,6:06:24 PM,2142
7:00:00 PM,4284,6.1,7:06:24 PM,4284
8:00:00 PM,6426,6.1,8:00:00 PM,6426
9:00:00 PM,714,5.3,9:00:00 PM,714
10:00:00 PM,1428,5.3,10:00:00 PM,1428
11:00:00 PM,2142,5.3,11:00:00 PM,2142
