Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,284,5.3,12:00:00 AM,284
1:00:00 AM,568,5.3,1:00:00 AM,568
2:00:00 AM,852,5.3,2:00:00 AM,852
3:00:00 AM,1705,5.6,3:00:00 AM,1705
4:00:00 AM,2558,5.6,4:00:00 AM,2558
5:00:00 AM,3411,5.6,5:05:24 AM,3411
6:00:00 AM,5117,6.1,6:06:24 AM,5117
7:00:00 AM,6823,6.1,7:06:24 AM,6823
8:00:00 AM,8529,6.1,8:06:24 AM,8529
9:00:00 AM,9748,5.8,9:05:24 AM,9748
10:00:00 AM,10967,5.8,10:05:36 AM,10967
11:00:00 AM,12186,5.8,11:05:36 AM,12186
12:00:00 PM,13405,5.8,12:05:36 PM,13405
1:00:00 PM,14624,5.8,1:05:36 PM,14624
2:00:00 PM,15843,5.8,2:05:36 PM,15843
3:00:00 PM,17549,6.1,3:06:24 PM,17549
4:00:00 PM,19255,6.1,4:06:24 PM,19255
5:00:00 PM,20961,6.1,5:06:24 PM,20961
6:00:00 PM,853,5.6,6:05:24 PM,853
7:00:00 PM,1706,5.6,7:05:24 PM,1706
8:00:00 PM,2559,5.6,8:00:00 PM,2559
9:00:00 PM,284,5.3,9:00:00 PM,284
10:00:00 PM,568,5.3,10:00:00 PM,568
11:00:00 PM,852,5.3,11:00:00 PM,852
